Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1961","1961","gigagrams","2751636.7722","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1962","1962","gigagrams","2813174.3764","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1963","1963","gigagrams","2850169.4224","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1964","1964","gigagrams","2910291.1818","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1965","1965","gigagrams","2971287.3899","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1966","1966","gigagrams","3050262.7013","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1967","1967","gigagrams","3121616.6543","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1968","1968","gigagrams","3181062.161","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1969","1969","gigagrams","3211696.8815","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1970","1970","gigagrams","3255845.9151","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1971","1971","gigagrams","3325738.92","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1972","1972","gigagrams","3375566.7317","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1973","1973","gigagrams","3449262.4971","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1974","1974","gigagrams","3505366.3682","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1975","1975","gigagrams","3601517.6756","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1976","1976","gigagrams","3632684.6212","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1977","1977","gigagrams","3674054.2543","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1978","1978","gigagrams","3727197.9173","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","1711","Agriculture total","1979","1979","gigagrams","3759287.1156","A","Aggregate, may include official, semi-official, estimated or calculated data",""
