Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1961","1961","Head","11584998","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1962","1962","Head","11854875","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1963","1963","Head","12004397","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1964","1964","Head","12424439","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1965","1965","Head","12666486","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1966","1966","Head","12815514","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1967","1967","Head","13222804","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1968","1968","Head","13622157","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1969","1969","Head","13884766","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1970","1970","Head","14229120","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1971","1971","Head","14589534","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1972","1972","Head","14810752","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1973","1973","Head","15252843","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1974","1974","Head","15701229","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1975","1975","Head","15852252","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1976","1976","Head","16186517","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1977","1977","Head","16553526","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1978","1978","Head","16816537","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1979","1979","Head","17251763","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1980","1980","Head","17642223","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1981","1981","Head","18096924","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1982","1982","Head","18633493","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1983","1983","Head","18989266","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1984","1984","Head","19702053","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1985","1985","Head","20006916","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1986","1986","Head","20714297","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5000","World","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","1987","1987","Head","20194151","A","Aggregate, may include official, semi-official, estimated or calculated data"
