"","Year","global_emi","X","livestock_emi","livestock_value","agriculture_emi","agriculture_value","import_value","export_value","undernourish"
"1",1961,49101945430,1,2122331.1489,1655507890,2751636.7722,746292870.360646,34701848,32113630,NA
"2",1962,51016118240,2,2158717.7428,1700479226,2813174.3764,769311536.185684,36258113,33416982,NA
"3",1963,53909313050,3,2184551.3307,1727173794,2850169.4224,790977626.13225,39564144,36732656,NA
"4",1964,56736471610,4,2212888.8871,1731755857,2910291.1818,817754218.625472,43275869,40019479,NA
"5",1965,59248825420,5,2256541.8872,1734183529,2971287.3899,835356635.435409,44375010,40903082,NA
"6",1966,61955475260,6,2302555.1117,1773435597,3050262.7013,865008097.116938,47247127,42958829,NA
"7",1967,63818681290,7,2352677.2068,1810409420,3121616.6543,896274265.765509,46495319,43117180,NA
"8",1968,67213684690,8,2387564.01,1854767600,3181062.161,923154883.482964,47110144,43916165,NA
"9",1969,71528049410,9,2399115.8948,1864177984,3211696.8815,927526635.151674,50427566,46669207,NA
"10",1970,77058619170,10,2413877.5773,1881068356,3255845.9151,956723978.905431,56456178,51936445,NA
"11",1971,80035731300,11,2456695.4334,1887615503,3325738.92,981239875.691207,60706091,55924650,NA
"12",1972,83445601450,12,2499534.3933,1900198456,3375566.7317,978070572.430087,71170688,66402020,NA
"13",1973,87875044270,13,2530886.0893,1887540807,3449262.4971,1030862216.77803,101588906,96230234,NA
"14",1974,87773803640,14,2589956.9756,1901503091,3505366.3682,1038995532.7146,127820292,118988484,NA
"15",1975,87547994590,15,2631164.0003,1985122318,3601517.6756,1059594649.29242,137080028,123932016,NA
"16",1976,92532991410,16,2650805.1884,2012922576,3632684.6212,1084010178.38119,144841411,133151121,NA
"17",1977,95066987910,17,2663687.5033,2040842865,3674054.2543,1111688430.3069,166735761,152960410,NA
"18",1978,97649494320,18,2674369.6363,2076483627,3727197.9173,1160989587.66536,188496410,172729992,NA
"19",1979,101400665490,19,2696275.2465,2071769329,3759287.1156,1177302618.82503,223579795,204220446,NA
"20",1980,100672860110,20,2734786.4973,2133081303,3831087.0634,1180133804.08384,254534921,233821175,NA
"21",1981,97780610740,21,2757585.2948,2194269322,3859882.4148,1219053445.06076,253757725,233142823,NA
"22",1982,97060290930,22,2786770.0467,2216108684,3887401.6834,1259999065.20348,234333431,213085327,NA
"23",1983,97457409950,23,2803018.358,2264830910,3939065.7616,1262974536.09167,229113240,208824066,NA
"24",1984,100481815600,24,2822152.8333,2282195433,3997993.0622,1330008266.42435,241396636,220943382,NA
"25",1985,103807488560,25,2835307.9364,2321361159,4010266.4453,1353355918.45434,232502733,208665993,NA
"26",1986,105840120800,26,2862856.8386,2350715696,4053889.7138,1375874637.81679,250921425,228983532,NA
"27",1987,109042780380,27,2868354.4082,2397478039,4068920.17,1391297099.25055,277614390,252646531,NA
"28",1988,112942173850,28,2885967.5324,2436150094,4124362.4194,1408670164.15533,312410606,286515575,NA
"29",1989,114943688670,29,2928286.9692,2500683412,4181728.2032,1457722728.00958,327129030,302037820,NA
"30",1990,115909255610,30,2947790.3055,2519720185,4611568.8594,1495818078.855,351467953,325577830,NA
"31",1991,117199703880,31,2949276.4922,2556682840,4596111.4054,1503302576.70171,353027343,328659952,NA
"32",1992,114841170000,32,2933519.2817,2630002973,4576219.1319,1538191650.01694,386177746,357341616,NA
"33",1993,115413650000,33,2924242.9469,2645136065,4549419.0508,1547947589.7677,355225556,338735267,NA
"34",1994,116629520000,34,2950849.9095,2699460760,4584097.6859,1587961876.97466,402544895,388442789,NA
"35",1995,1.19006e+11,35,2961708.4421,2764382670,4640192.8455,1618207216.584,461025072,442888639,NA
"36",1996,122063370000,36,2966714.3441,2726381943,4777440.5063,1687267832.35751,480193241,465529215,NA
"37",1997,123114310000,37,2913351.7434,2793726976,4737413.6767,1715223594.64004,468449878,457517564,NA
"38",1998,122876460000,38,2918886.1783,2852151407,4847098.0061,1742256950.15399,457122996,437677789,NA
"39",1999,123587650000,39,2930488.1319,2912645032,4875313.876,1795258565.00098,443515286,417121962,0.135245098039216
"40",2000,126905500000,40,2947149.7074,2955833058,4805153.4518,1833839043.24368,433157405,411026419,0.136200980392157
"41",2001,128851100000,41,2948365.2381,2951160004,4717881.9814,1858944031.66027,441843078,414404402,0.138691176470588
"42",2002,131230950000,42,2978977.6474,2987924619,4748157.9346,1887053385.57425,465333985,442724028,0.136828431372549
"43",2003,137877770000,43,3011870.8656,3055996724,4742248.0452,1936052641.46341,551741729,525346285,0.134759803921569
"44",2004,144283840000,44,3047009.4208,3126525553,4844425.4031,2023484540.38361,638435122,607389918,0.13575
"45",2005,149287180000,45,3081682.4642,3209318278,4873930.3533,2064202004.80883,679892703,653535158,0.133627450980392
"46",2006,154345190000,46,3108867.5035,3268139208,4924994.4785,2111230777.21802,753968276,721472428,0.12978431372549
"47",2007,158138090000,47,3136812.0668,3339448924,5008612.8056,2177514417.48613,913261891,873286997,0.131911764705882
"48",2008,162146740000,48,3162947.1315,3358385190,5020988.4102,2258819539.18419,1118566424,1067553103,0.129156862745098
"49",2009,160216950000,49,3179313.9292,3397610803,5019933.105,2275861473.90898,988056085,950959938,0.129769607843137
"50",2010,168243650000,50,3189766.1928,3436240694,5088714.3277,2333659813.52954,1107372215,1084742336,0.129789215686274
"51",2011,174562070000,51,3204434.9128,3440101640,5220746.9317,2417560897.26821,1357005394,1320239084,0.138475490196078
"52",2012,177452110000,52,3233315.8814,3515546551,5241381.0818,2443086112.8,1369858609,1337670643,0.143480392156863
"53",2013,178642900000,53,3250102.8788,3559737129,5184924.0309,2529921661.30118,1429348327,1396562909,0.141759803921569
"54",2014,179957650000,54,3274084.1787,2172485714,5238033.8615,2574665849.20305,1455340684,1407016226,0.143058823529412
"55",2015,179639070000,55,3304598.535,2208701681,5259816.2027,2600907670.03152,1322959562,1260420093,0.130269607843137
"56",2016,180295480000,56,3348546.945,2239642829,5285845.511,2629667131.39123,1310752751,1264129846,NA
