Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
TP,Crops and livestock products,5706,European Union,5622,Import Value,1882,"Agricult.Products,Total",1961,1961,1000 US$,17740993,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5706,European Union,5622,Import Value,1882,"Agricult.Products,Total",1962,1962,1000 US$,19090634,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5706,European Union,5622,Import Value,1882,"Agricult.Products,Total",1963,1963,1000 US$,20424764,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5706,European Union,5622,Import Value,1882,"Agricult.Products,Total",1964,1964,1000 US$,21854966,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5706,European Union,5622,Import Value,1882,"Agricult.Products,Total",1965,1965,1000 US$,22647336,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5706,European Union,5622,Import Value,1882,"Agricult.Products,Total",1966,1966,1000 US$,23905564,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5706,European Union,5622,Import Value,1882,"Agricult.Products,Total",1967,1967,1000 US$,23375980,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5706,European Union,5622,Import Value,1882,"Agricult.Products,Total",1968,1968,1000 US$,23353662,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5706,European Union,5622,Import Value,1882,"Agricult.Products,Total",1969,1969,1000 US$,25864938,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5706,European Union,5622,Import Value,1882,"Agricult.Products,Total",1970,1970,1000 US$,28485932,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5706,European Union,5622,Import Value,1882,"Agricult.Products,Total",1971,1971,1000 US$,31074519,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5706,European Union,5622,Import Value,1882,"Agricult.Products,Total",1972,1972,1000 US$,36980947,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5706,European Union,5622,Import Value,1882,"Agricult.Products,Total",1973,1973,1000 US$,51595425,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5706,European Union,5622,Import Value,1882,"Agricult.Products,Total",1974,1974,1000 US$,60252120,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5706,European Union,5622,Import Value,1882,"Agricult.Products,Total",1975,1975,1000 US$,64706635,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5706,European Union,5622,Import Value,1882,"Agricult.Products,Total",1976,1976,1000 US$,70368135,A,"Aggregate, may include official, semi-official, estimated or calculated data"
