Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","5000","World","5622","Import Value","1882","Agricult.Products,Total","1961","1961","1000 US$","34701848","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","5000","World","5622","Import Value","1882","Agricult.Products,Total","1962","1962","1000 US$","36258113","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","5000","World","5622","Import Value","1882","Agricult.Products,Total","1963","1963","1000 US$","39564144","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","5000","World","5622","Import Value","1882","Agricult.Products,Total","1964","1964","1000 US$","43275869","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","5000","World","5622","Import Value","1882","Agricult.Products,Total","1965","1965","1000 US$","44375010","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","5000","World","5622","Import Value","1882","Agricult.Products,Total","1966","1966","1000 US$","47247127","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","5000","World","5622","Import Value","1882","Agricult.Products,Total","1967","1967","1000 US$","46495319","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","5000","World","5622","Import Value","1882","Agricult.Products,Total","1968","1968","1000 US$","47110144","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","5000","World","5622","Import Value","1882","Agricult.Products,Total","1969","1969","1000 US$","50427566","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","5000","World","5622","Import Value","1882","Agricult.Products,Total","1970","1970","1000 US$","56456178","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","5000","World","5622","Import Value","1882","Agricult.Products,Total","1971","1971","1000 US$","60706091","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","5000","World","5622","Import Value","1882","Agricult.Products,Total","1972","1972","1000 US$","71170688","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","5000","World","5622","Import Value","1882","Agricult.Products,Total","1973","1973","1000 US$","101588906","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","5000","World","5622","Import Value","1882","Agricult.Products,Total","1974","1974","1000 US$","127820292","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","5000","World","5622","Import Value","1882","Agricult.Products,Total","1975","1975","1000 US$","137080028","A","Aggregate, may include official, semi-official, estimated or calculated data"
