"","Year","Unit","Export Value","Import Value"
"1",1961,"1000 US$",32113630,34701848
"2",1962,"1000 US$",33416982,36258113
"3",1963,"1000 US$",36732656,39564144
"4",1964,"1000 US$",40019479,43275869
"5",1965,"1000 US$",40903082,44375010
"6",1966,"1000 US$",42958829,47247127
"7",1967,"1000 US$",43117180,46495319
"8",1968,"1000 US$",43916165,47110144
"9",1969,"1000 US$",46669207,50427566
"10",1970,"1000 US$",51936445,56456178
"11",1971,"1000 US$",55924650,60706091
"12",1972,"1000 US$",66402020,71170688
"13",1973,"1000 US$",96230234,101588906
"14",1974,"1000 US$",118988484,127820292
"15",1975,"1000 US$",123932016,137080028
"16",1976,"1000 US$",133151121,144841411
"17",1977,"1000 US$",152960410,166735761
"18",1978,"1000 US$",172729992,188496410
"19",1979,"1000 US$",204220446,223579795
"20",1980,"1000 US$",233821175,254534921
"21",1981,"1000 US$",233142823,253757725
"22",1982,"1000 US$",213085327,234333431
"23",1983,"1000 US$",208824066,229113240
"24",1984,"1000 US$",220943382,241396636
"25",1985,"1000 US$",208665993,232502733
"26",1986,"1000 US$",228983532,250921425
"27",1987,"1000 US$",252646531,277614390
"28",1988,"1000 US$",286515575,312410606
"29",1989,"1000 US$",302037820,327129030
"30",1990,"1000 US$",325577830,351467953
"31",1991,"1000 US$",328659952,353027343
"32",1992,"1000 US$",357341616,386177746
"33",1993,"1000 US$",338735267,355225556
"34",1994,"1000 US$",388442789,402544895
"35",1995,"1000 US$",442888639,461025072
"36",1996,"1000 US$",465529215,480193241
"37",1997,"1000 US$",457517564,468449878
"38",1998,"1000 US$",437677789,457122996
"39",1999,"1000 US$",417121962,443515286
"40",2000,"1000 US$",411026419,433157405
"41",2001,"1000 US$",414404402,441843078
"42",2002,"1000 US$",442724028,465333985
"43",2003,"1000 US$",525346285,551741729
"44",2004,"1000 US$",607389918,638435122
"45",2005,"1000 US$",653535158,679892703
"46",2006,"1000 US$",721472428,753968276
"47",2007,"1000 US$",873286997,913261891
"48",2008,"1000 US$",1067553103,1118566424
"49",2009,"1000 US$",950959938,988056085
"50",2010,"1000 US$",1084742336,1107372215
"51",2011,"1000 US$",1320239084,1357005394
"52",2012,"1000 US$",1337670643,1369858609
"53",2013,"1000 US$",1396562909,1429348327
"54",2014,"1000 US$",1407016226,1455340684
"55",2015,"1000 US$",1260420093,1322959562
"56",2016,"1000 US$",1264129846,1310752751
